Short Code, Account Type, Available Balance, Currency, Date
100232,Organization eMoney Account (Float Account),0.00,SSP,2019-06-28 03:00:03
100237,Organization eMoney Account (Float Account),0.00,SSP,2019-06-28 03:00:03
100243,Organization eMoney Account (Float Account),0.00,SSP,2019-06-28 03:00:03
100204,Organization eMoney Account (Float Account),0.00,SSP,2019-06-28 03:00:03
100247,Organization eMoney Account (Float Account),0.00,SSP,2019-06-28 03:00:03
100224,Organization eMoney Account (Float Account),0.00,SSP,2019-06-28 03:00:03
100213,Organization eMoney Account (Float Account),0.00,SSP,2019-06-28 03:00:03
100202,Organization eMoney Account (Float Account),89410.00,SSP,2019-06-28 03:00:03
100248,Organization eMoney Account (Float Account),0.00,SSP,2019-06-28 03:00:03
100246,Organization eMoney Account (Float Account),0.00,SSP,2019-06-28 03:00:03
100238,Organization eMoney Account (Float Account),0.00,SSP,2019-06-28 03:00:03
100236,Organization eMoney Account (Float Account),0.00,SSP,2019-06-28 03:00:03
100242,Organization eMoney Account (Float Account),0.00,SSP,2019-06-28 03:00:03
100230,Organization eMoney Account (Float Account),0.00,SSP,2019-06-28 03:00:03
100225,Organization eMoney Account (Float Account),0.00,SSP,2019-06-28 03:00:03
100208,Organization eMoney Account (Float Account),0.00,SSP,2019-06-28 03:00:03
100216,Organization eMoney Account (Float Account),0.00,SSP,2019-06-28 03:00:03
100201,Organization eMoney Account (Float Account),0.00,SSP,2019-06-28 03:00:03
Short Code, Account Type, Available Balance, Currency, Date
100201,Commission Account,0.00,SSP,2019-06-29 03:00:00
100201,Organization eMoney Account (Float Account),0.00,SSP,2019-06-29 03:00:00
100201,Organization eMoney Account (working Account),0.00,SSP,2019-06-29 03:00:00
100216,Commission Account,0.00,SSP,2019-06-29 03:00:00
100216,Organization eMoney Account (Float Account),0.00,SSP,2019-06-29 03:00:00
100216,Organization eMoney Account (working Account),0.00,SSP,2019-06-29 03:00:00
100208,Commission Account,0.00,SSP,2019-06-29 03:00:00
100208,Organization eMoney Account (Float Account),0.00,SSP,2019-06-29 03:00:00
100208,Organization eMoney Account (working Account),0.00,SSP,2019-06-29 03:00:00
100225,Commission Account,0.00,SSP,2019-06-29 03:00:00
100225,Organization eMoney Account (Float Account),0.00,SSP,2019-06-29 03:00:00
100225,Organization eMoney Account (working Account),0.00,SSP,2019-06-29 03:00:00
100230,Commission Account,0.00,SSP,2019-06-29 03:00:00
100230,Organization eMoney Account (Float Account),0.00,SSP,2019-06-29 03:00:00
100230,Organization eMoney Account (working Account),0.00,SSP,2019-06-29 03:00:00
100242,Commission Account,0.00,SSP,2019-06-29 03:00:00
100242,Organization eMoney Account (Float Account),0.00,SSP,2019-06-29 03:00:00
100242,Organization eMoney Account (working Account),0.00,SSP,2019-06-29 03:00:00
100236,Commission Account,0.00,SSP,2019-06-29 03:00:00
100236,Organization eMoney Account (Float Account),0.00,SSP,2019-06-29 03:00:00
100236,Organization eMoney Account (working Account),0.00,SSP,2019-06-29 03:00:00
100238,Commission Account,0.00,SSP,2019-06-29 03:00:00
100238,Organization eMoney Account (Float Account),0.00,SSP,2019-06-29 03:00:00
100238,Organization eMoney Account (working Account),0.00,SSP,2019-06-29 03:00:00
100246,Commission Account,0.00,SSP,2019-06-29 03:00:00
100246,Organization eMoney Account (Float Account),0.00,SSP,2019-06-29 03:00:00
100246,Organization eMoney Account (working Account),0.00,SSP,2019-06-29 03:00:00
100248,Commission Account,0.00,SSP,2019-06-29 03:00:00
100248,Organization eMoney Account (Float Account),0.00,SSP,2019-06-29 03:00:00
100248,Organization eMoney Account (working Account),0.00,SSP,2019-06-29 03:00:00
100262,Commission Account,0.00,SSP,2019-06-29 03:00:00
100262,Organization eMoney Account (Float Account),0.00,SSP,2019-06-29 03:00:00
100262,Organization eMoney Account (working Account),0.00,SSP,2019-06-29 03:00:00
100202,Commission Account,124.00,SSP,2019-06-29 03:00:00
100202,Organization eMoney Account (Float Account),89310.00,SSP,2019-06-29 03:00:00
100202,Organization eMoney Account (working Account),0.00,SSP,2019-06-29 03:00:00
100213,Commission Account,0.00,SSP,2019-06-29 03:00:00
100213,Organization eMoney Account (Float Account),0.00,SSP,2019-06-29 03:00:00
100213,Organization eMoney Account (working Account),0.00,SSP,2019-06-29 03:00:00
100224,Commission Account,0.00,SSP,2019-06-29 03:00:00
100224,Organization eMoney Account (Float Account),0.00,SSP,2019-06-29 03:00:00
100224,Organization eMoney Account (working Account),0.00,SSP,2019-06-29 03:00:00
100247,Commission Account,0.00,SSP,2019-06-29 03:00:00
100247,Organization eMoney Account (Float Account),0.00,SSP,2019-06-29 03:00:00
100247,Organization eMoney Account (working Account),0.00,SSP,2019-06-29 03:00:00
100256,Commission Account,0.00,SSP,2019-06-29 03:00:00
100256,Organization eMoney Account (Float Account),0.00,SSP,2019-06-29 03:00:00
100256,Organization eMoney Account (working Account),0.00,SSP,2019-06-29 03:00:00
100204,Commission Account,0.00,SSP,2019-06-29 03:00:00
100204,Organization eMoney Account (Float Account),0.00,SSP,2019-06-29 03:00:00
100204,Organization eMoney Account (working Account),0.00,SSP,2019-06-29 03:00:00
100263,Commission Account,0.00,SSP,2019-06-29 03:00:00
100263,Organization eMoney Account (Float Account),0.00,SSP,2019-06-29 03:00:00
100263,Organization eMoney Account (working Account),0.00,SSP,2019-06-29 03:00:00
100243,Commission Account,0.00,SSP,2019-06-29 03:00:00
100243,Organization eMoney Account (Float Account),0.00,SSP,2019-06-29 03:00:00
100243,Organization eMoney Account (working Account),0.00,SSP,2019-06-29 03:00:00
100237,Commission Account,0.00,SSP,2019-06-29 03:00:00
100237,Organization eMoney Account (Float Account),0.00,SSP,2019-06-29 03:00:00
100237,Organization eMoney Account (working Account),0.00,SSP,2019-06-29 03:00:00
100232,Commission Account,0.00,SSP,2019-06-29 03:00:00
100232,Organization eMoney Account (Float Account),0.00,SSP,2019-06-29 03:00:00
100232,Organization eMoney Account (working Account),0.00,SSP,2019-06-29 03:00:00
100250,Commission Account,0.00,SSP,2019-06-29 03:00:00
100250,Organization eMoney Account (Float Account),0.00,SSP,2019-06-29 03:00:00
100250,Organization eMoney Account (working Account),0.00,SSP,2019-06-29 03:00:00
100221,Commission Account,0.00,SSP,2019-06-29 03:00:00
100221,Organization eMoney Account (Float Account),0.00,SSP,2019-06-29 03:00:00
100221,Organization eMoney Account (working Account),0.00,SSP,2019-06-29 03:00:00
